,Description
lesion,"Any pathological or traumatic discontinuity of tissue or loss of function of a part. Lesion is a broad term, including wounds, sores, ulcers, tumors, cataracts, and any other tissue damage"
mental status changes,"An alteration in mental status refers to general changes in brain function, such as confusion, amnesia (memory loss), loss of alertness, disorientation (not cognizant of self, time, or place), defects in judgment or thought, unusual or strange behavior, poor regulation of emotions, and disruptions in perception, psychomotor skills, and behavior."
malaise,"Malaise is a general feeling of discomfort, illness, or lack of well-being"
anorexia," An eating disorder characterized by markedly reduced appetite or total aversion to food. Anorexia is a serious psychological disorder. It is a condition that goes well beyond out-of-control dieting. The person with anorexia, most often a girl or young woman, initially begins dieting to lose weight"
bedridden,"Being bedridden is a form of immobility that can present as the inability to move or even sit upright. It differs from bed-rest, a form of non-invasive treatment that is usually part of recovery or the limitation of activities."
hyperkalemia,"Hyperkalemia is the medical term that describes a potassium level in your blood that's higher than normal. Potassium is a chemical that is critical to the function of nerve and muscle cells, including those in your heart. Your blood potassium level is normally 3.6 to 5.2 millimoles per liter (mmol/L)."
hemodynamically stable,"Hemodynamics refers to the forces  the heart has to develop to maintain blood flow through the cavities of the heart and all the blood vessels Stable blood flow provides a steady supply of oxygen to all tissues and organs in the body. If a patient has stable hemodynamics, it means that the force at which the heart pumps blood is stable."
ascites,An abnormal accumulation of fluid within the abdomen.
wheelchair bound,"unable to walk through injury, illness, etc and relying on a wheelchair to move around"
guaiac positive,a test for blood in urine or feces using a reagent containing guaiacum that yields a blue color when blood is present
yellow sputum,"If you see green or yellow phlegm, it's usually a sign that your body is fighting an infection. The color comes from white blood cells. At first, you may notice yellow phlegm that then progresses into green phlegm"
pleuritic pain,"Pleuritic chest pain is characterized by sudden and intense sharp, stabbing, or burning pain in the chest when inhaling and exhaling. It is exacerbated by deep breathing, coughing, sneezing, or laughing"
pruritus,"Itchy skin is an uncomfortable, irritating sensation that makes you want to scratch. Also known as pruritus (proo-RIE-tus), itchy skin can be caused or worsened by dry skin"
asthenia,"Weakness. Lack of energy and strength. Loss of strength. Myasthenia refers to a loss of muscle strength, as in myasthenia gravis."
patient non compliance,"Failure or refusal to comply. In medicine, the term noncompliance is commonly used in regard to a patient who does not take a prescribed medication or follow a prescribed course of treatment. A person who demonstrates noncompliance is said to be noncompliant."
lethargy,"A condition marked by drowsiness and an unusual lack of energy and mental alertness. It can be caused by many things, including illness, injury, or drugs."
rale,"An abnormal lung sound that can be heard through a stethoscope. Rales may be sibilant (whistling), dry (crackling), or wet (sloshy), depending on the amount and density of fluid refluxing back and forth in the air passages."
haemorrhage,"loss of blood from damaged blood vessels. A hemorrhage may be internal or external, and usually involves a lot of bleeding in a short time."
feeling suicidal,"Suicidal thoughts, or suicide ideation, refers to thinking about or planning suicide. Thoughts can range from creating a detailed plan to having a fleeting consideration. It does not include the final act of suicide."
acute episodes,"A nonspecific term referring to a period when the clinical effects of a pathological process or physiologic derangement are most intense, usually immediately following trauma, injury or flare-up of a chronic disease."
bleeding from anus,"Rectal bleeding can refer to any blood that passes from your anus, although rectal bleeding is usually assumed to refer to bleeding from your lower colon or rectum. Your rectum makes up the lower portion of your large intestine."
bowel obstruction,"Blockage of the intestine by infolding (intussusception), malformation, tumor, digestive problems, a foreign body, or inflammation."
coughing up blood,"You may cough up small amounts of bright red blood, or frothy blood-streaked sputum (phlegm). The blood is usually from your lungs and is often the result of prolonged coughing or a chest infection."
cyst,"Cysts are abnormal, closed sac-like structures within a tissue that contain a liquid, gaseous, or semisolid substance. Cysts can occur anywhere in the body and can vary in size. The outer, or capsular, portion of a cyst is termed the cyst wall."
dark stool from digested blood,"Black or tarry stools with a foul smell are a sign of a problem in the upper digestive tract. It most often indicates that there is bleeding in the stomach, small intestine, or right side of the colon."
dehydration,"Dehydration occurs when your body does not have as much water and fluids as it needs. Dehydration can be mild, moderate, or severe, based on how much of your body's fluid is lost or not replaced. Severe dehydration is a life-threatening emergency."
difficulty speaking,total absence of ability to form speech or language
dull pain,"Dull pain is usually used to describe chronic or persistent pain. This is a deep ache felt in an area, but typically doesn't stop you from daily activities. Examples of dull pain may be a: slight headache. sore muscle."
facial swelling,Facial swelling is the buildup of fluid in the tissues of the face.
flank pain,Flank pain is pain in one side of the body between the upper belly area (abdomen) and the back.
fluid in the abdomen,An abnormal accumulation of fluid within the abdomen
hand swelling,Swelling on the hands
kidney failure,"A condition in which the kidneys stop working and are not able to remove waste and extra water from the blood or keep body chemicals in balance. Acute or severe renal failure happens suddenly (for example, after an injury) and may be treated and cured."
leaking of urine,The severity ranges from occasionally leaking urine when you cough or sneeze to having an urge to urinate that's so sudden and strong you don't get to a toilet in time.
low oxygen in the body,"Hypoxemia is a below-normal level of oxygen in your blood, specifically in the arteries. Hypoxemia is a sign of a problem related to breathing or circulation, and may result in various symptoms, such as shortness of breath."
malnutrition,"Malnutrition refers to deficiencies, excesses or imbalances in a person's intake of energy and/or nutrients."
mental confusion,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions"
problems with coordination,"a lack of muscle control or coordination of voluntary movements, such as walking or picking up objects."
sadness,A normal emotional feeling of dejection or melancholy that one may experience after an unhappy event.
swelling under the skin,"Swelling occurs whenever the organs, skin, or other parts of your body enlarge. It's typically the result of inflammation or a buildup of fluid. Swelling can occur internally, or it can affect your outer skin and muscles. A range of conditions can cause swelling."
tongue swelling,"A swollen tongue is a type of angioedema, a buildup of fluid in the lower layer of the skin or mucous membranes in various parts of the body. In medical terms, tongue swelling is known as glossitis and usually is accompanied by redness and other symptoms depending on the cause."
weakness of one side of the body,"Hemiparesis, or unilateral paresis, is weakness of one entire side of the body (hemi- means ""half""). Hemiplegia is, in its most severe form, complete paralysis of half of the body. Hemiparesis and hemiplegia can be caused by different medical conditions, including congenital causes, trauma, tumors, or stroke"
decreased smell,"Anosmia, also known as smell blindness, is the loss of the ability to detect one or more smells. Anosmia may be temporary or permanent. It differs from hyposmia, which is a decreased sensitivity to some or all smells."
grinding teeth,"Bruxism (BRUK-siz-um) is a condition in which you grind, gnash or clench your teeth. If you have bruxism, you may unconsciously clench your teeth when you're awake (awake bruxism) or clench or grind them during sleep (sleep bruxism)."
pulsating sensation,The tactile sensation imparted by the flow of blood through a particular artery. The most commonly measured pulses are the radial pulse at the wrist and the dorsalis pedis over the foot.
vocal outbursts,"Involuntary (or semi-voluntary) vocal outbursts are a feature of certain neurological conditions characterized by other types of tics, such as involuntary movements. The classic example is Tourette syndrome, but other neurological disturbances can result in vocal outbursts as well."
inattention,"Inattention is the lack of focus when focus on a given event or situation is required. Inattention is a hallmark feature of attention deficit-hyperactivity disorder (ADHD), which can affect adults as well as children and teens."
bladder spasms,"A bladder spasm, or ""detrusor contraction,"" occurs when the bladder muscle squeezes suddenly without warning, causing an urgent need to release urine. The spasm can force urine from the bladder, causing leakage. When this happens, the condition is called urge incontinence or overactive bladder"
irregular heartbeat,"An arrhythmia is a problem with the rate or rhythm of your heartbeat. It means that your heart beats too quickly, too slowly, or with an irregular pattern. When the heart beats faster than normal, it is called tachycardia. When the heart beats too slowly, it is called bradycardia"
enlarged finger tips,"Clubbing of the fingers, also described as hypertrophic osteoarthropathy (HOA), is an enlargement of the ends of the fingers accompanied by a downward sloping of the nails. You can have primary HOA, which is simply a clubbed appearance of your fingers that is not associated with any health problems"
self-neglect,"Self-neglect is a behavioral condition in which an individual neglects to attend to their basic needs, such as personal hygiene, appropriate clothing, feeding, or tending appropriately to any medical conditions they have."
thin  stools,narrow or pencil-thin stool
bad taste in mouth, It can result in unpleasant taste sensations ranging from metallic to salty or bitter. The bad taste may also be described as foul or rancid.
flashbacks,"A flashback, or involuntary recurrent memory, is a psychological phenomenon in which an individual has a sudden, usually powerful, re-experiencing of a past experience or elements of a past experience."
overactive bladder,"Overactive bladder, also called OAB, causes a frequent and sudden urge to urinate that may be difficult to control. You may feel like you need to pass urine many times during the day and night, and may also experience unintentional loss of urine (urgency incontinence)"
chronic pain,"Chronic pain is pain that is ongoing and usually lasts longer than six months. This type of pain can continue even after the injury or illness that caused it has healed or gone away. Pain signals remain active in the nervous system for weeks, months or years."
learning disability,A childhood disorder characterized by difficulty with certain skills such as reading or writing in individuals with normal intelligence. Learning disabilities affect the ability to interpret what one sees and hears or the ability to link information from different parts of the brain.
nail clubbing,Clubbing is a physical sign characterized by bulbous enlargement of the ends of one or more fingers or toes (Figure 44.1). Proliferation and edema of connective tissue result in loss of the normal angle between the skin and nail plate and excessive sponginess of the nail base.
apathy,"Apathy is when you lack motivation to do anything or just don't care about what's going on around you. Apathy can be a symptom of mental health problems, Parkinson's disease, or Alzheimer's disease. It often lasts a long time."
hallucinations,"Hallucinations are defined as the ""perception of a nonexistent object or event"" and ""sensory experiences that are not caused by stimulation of the relevant sensory organs."""
decreased urination,"Oliguria is the medical term for a decreased output of urine. Oliguria is considered to be a urinary output of less than 400 milliliters, which is less than about 13.5 ounces over the course of 24 hours. The absence of urine is known as anuria."
female facial hair,"Hirsutism in women is the excess growth of dark and coarse hair over areas of the body where it ordinarily wouldn't grow, such as the face and back. About one woman in 10 is affected. Hirsutism is usually a symptom of an underlying problem rather than a medical condition in its own right"
diogenes syndrome,"Diogenes syndrome, also known as senile squalor syndrome, is a disorder characterized by extreme self-neglect, domestic squalor, social withdrawal, apathy, compulsive hoarding of garbage or animals, plus lack of shame. Sufferers may also display symptoms of catatonia."
strange smell,"Phantosmia (phantom smell), also called an olfactory hallucination or a phantom odor is smelling an odor that is not actually there. It can occur in one nostril or both. Unpleasant phantosmia, cacosmia, is more common and is often described as smelling something that is burned, foul, spoiled, or rotten."
choking,"Choking occurs when breathing is impeded by a constricted or obstructed throat or windpipe. In some cases the air flow is completely blocked, in other cases some amount of air can pass to the lungs. Insufficient oxygen being delivered to the body will result in oxygen deprivation."
blunted affect,"Blunted affect is a lack of affect more severe than restricted or constricted affect, but less severe than flat or flattened affect. ""The difference between flat and blunted affect is in degree. A person with flat affect has no or nearly no emotional expression."
shuffling gait,Shuffling gait appears as if the person is dragging their feet as they walk. Steps may also be shorter in stride (length of the step) in a shuffling gait. The shuffling gait is also seen with the reduced arm movement during walking
urine leaking,"Urinary incontinence is the unintentional passing of urine. It's a common problem thought to affect millions of people. There are several types of urinary incontinence, including: stress incontinence – when urine leaks out at times when your bladder is under pressure; for example, when you cough or laugh."
shaking,Uncontrollable shaking (tremor) of the hands and arms and sometimes other parts of the body.
lack of motivation,Avolition is a total lack of motivation that makes it hard to get anything done.
hiccups,A hiccup (also spelled hiccough) is an involuntary contraction (myoclonic jerk) of the diaphragm that may repeat several times per minute. The hiccup is an involuntary action involving a reflex arc.
excessive gas,"Excess gas in the intestinal tract. But excess flatulence is difficult to define without a yardstick to measure the ""normal"" frequency of gas passages. "
watery eyes,"Watering eye, epiphora or tearing, is a condition in which there is an overflow of tears onto the face, often without a clear explanation. There is insufficient tear film drainage from the eye or eyes. Instead of the tears draining through the nasolacrimal system, they overflow onto the face."
thick saliva,"When the salivary glands in your mouth don't produce enough saliva, it can make your mouth feel parched or dry. A symptom of dry mouth syndrome is stringy or thick saliva, as there is not enough moisture in the mouth to thin it."
ptosis,"Ptosis is when the upper eyelid droops over the eye. The eyelid may droop just a little, or so much that it covers the pupil (the black dot at the center of your eye that lets light in). Ptosis can limit or even completely block normal vision. Children and adults can have ptosis"
foul smelling stools,"Foul-smelling stools have an unusually strong, putrid smell. In many cases, foul-smelling stools occur due to the foods people eat and the bacteria present in their colon. However, foul-smelling stools can also indicate a serious health problem. Diarrhea, bloating, or flatulence may occur with foul-smelling stools."
eyelashes falling out,"Madarosis is a condition that results in the loss of eyelashes, and sometimes eyebrows. The term ""madarosis"" is Greek for the word ""madao"" which means ""to fall off."" It originally was a disease of only losing eyelashes but it currently is the loss of both eyelashes and eyebrows."
watery mouth,"Nausea is an uneasy feeling of the stomach that often leads to the urge to vomit. Watery mouth, also called hypersalivation, sialorrhea, or ptyalism, is a condition marked by excess saliva. While nausea and watery mouth can occur separately, they may happen together.

Nausea can be accompanied by increased salivationTrusted Source, aversion to eating certain foods, and excessive swallowing. A watery mouth can have a medical cause that may also cause nausea, among other gastric symptoms."
black colored stools,"Black stools can indicate bleeding or other injuries in your gastrointestinal tract. You may also have dark, discolored bowel movements after eating dark-colored foods. Tell your doctor any time you have bloody or black-colored stool to rule out serious medical conditions."
telangiectasia,"Telangiectasias are small, widened blood vessels on the skin. They are usually harmless, but may be associated with several diseases."
lack of facial expressions,"Hypomimia (masked facies, masking of facies), a medical sign, is a reduced degree of facial expression."
difficulty staying awake during day,Hypersomnia is a condition in which people have excessive daytime sleepiness. This means they feel tired during the day. Hypersomnia can also include situations in which a person needs to sleep a lot.
metallic taste in mouth,metallic taste in mouth
sneezing,"A sneeze, or sternutation, is a semi-autonomous, convulsive expulsion of air from the lungs through the nose and mouth, usually caused by foreign particles irritating the nasal mucosa."
bloating,"Abdominal bloating occurs when the gastrointestinal (GI) tract is filled with air or gas. Most people describe bloating as feeling full, tight, or swollen in the abdomen. Your abdomen may also be swollen (distended), hard, and painful."
impaired judgement,"Reduced ability to plan, poor decision making"
attention deficit,"Attention deficit disorder (ADD): (ADD) a developmental disorder characterized by symptoms of inattention (such as distractibility, disorganization, or forgetfulness) or by symptoms of hyperactivity and impulsivity (such as fidgeting, speaking out of turn, or restlessness)."
loss of coordination,"Uncoordinated movement is also known as lack of coordination, coordination impairment, or loss of coordination. The medical term for this problem is ataxia. For most people, body movements are smooth, coordinated, and seamless."
