,Description
lesion,"Any pathological or traumatic discontinuity of tissue or loss of function of a part. Lesion is a broad term, including wounds, sores, ulcers, tumors, cataracts, and any other tissue damage"
malaise,"Malaise is a general feeling of discomfort, illness, or lack of well-being"
lethargy,"A condition marked by drowsiness and an unusual lack of energy and mental alertness. It can be caused by many things, including illness, injury, or drugs."
acute episodes,"A nonspecific term referring to a period when the clinical effects of a pathological process or physiologic derangement are most intense, usually immediately following trauma, injury or flare-up of a chronic disease."
bleeding from anus,"Rectal bleeding can refer to any blood that passes from your anus, although rectal bleeding is usually assumed to refer to bleeding from your lower colon or rectum. Your rectum makes up the lower portion of your large intestine."
dehydration,"Dehydration occurs when your body does not have as much water and fluids as it needs. Dehydration can be mild, moderate, or severe, based on how much of your body's fluid is lost or not replaced. Severe dehydration is a life-threatening emergency."
leaking of urine,The severity ranges from occasionally leaking urine when you cough or sneeze to having an urge to urinate that's so sudden and strong you don't get to a toilet in time.
mental confusion,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions"
sadness,A normal emotional feeling of dejection or melancholy that one may experience after an unhappy event.
grinding teeth,"Bruxism (BRUK-siz-um) is a condition in which you grind, gnash or clench your teeth. If you have bruxism, you may unconsciously clench your teeth when you're awake (awake bruxism) or clench or grind them during sleep (sleep bruxism)."
self-neglect,"Self-neglect is a behavioral condition in which an individual neglects to attend to their basic needs, such as personal hygiene, appropriate clothing, feeding, or tending appropriately to any medical conditions they have."
bad taste in mouth, It can result in unpleasant taste sensations ranging from metallic to salty or bitter. The bad taste may also be described as foul or rancid.
hallucinations,"Hallucinations are defined as the ""perception of a nonexistent object or event"" and ""sensory experiences that are not caused by stimulation of the relevant sensory organs."""
diogenes syndrome,"Diogenes syndrome, also known as senile squalor syndrome, is a disorder characterized by extreme self-neglect, domestic squalor, social withdrawal, apathy, compulsive hoarding of garbage or animals, plus lack of shame. Sufferers may also display symptoms of catatonia."
choking,"Choking occurs when breathing is impeded by a constricted or obstructed throat or windpipe. In some cases the air flow is completely blocked, in other cases some amount of air can pass to the lungs. Insufficient oxygen being delivered to the body will result in oxygen deprivation."
shaking,Uncontrollable shaking (tremor) of the hands and arms and sometimes other parts of the body.
watery eyes,"Watering eye, epiphora or tearing, is a condition in which there is an overflow of tears onto the face, often without a clear explanation. There is insufficient tear film drainage from the eye or eyes. Instead of the tears draining through the nasolacrimal system, they overflow onto the face."
thick saliva,"When the salivary glands in your mouth don't produce enough saliva, it can make your mouth feel parched or dry. A symptom of dry mouth syndrome is stringy or thick saliva, as there is not enough moisture in the mouth to thin it."
metallic taste in mouth,metallic taste in mouth
bloating,"Abdominal bloating occurs when the gastrointestinal (GI) tract is filled with air or gas. Most people describe bloating as feeling full, tight, or swollen in the abdomen. Your abdomen may also be swollen (distended), hard, and painful."
tenderness to touch,"In medicine, tenderness is pain or discomfort when an affected area is touched. It should not be confused with the pain that a patient perceives without touching. Pain is patient's perception, while tenderness is a sign that a clinician elicits."
fits of rage,"Intermittent explosive disorder involves repeated, sudden episodes of impulsive, aggressive, violent behavior or angry verbal outbursts in which you react grossly out of proportion to the situation"
pain when moving eyes,pain when moving eyes
taste of acid in mouth,Share on Pinterest Dysgeusia is the medical term for an altered taste in the mouth. A persistent altered taste in the mouth is known medically as dysgeusia. This taste is described as unpleasant and can last for a long time until the underlying cause is treated.
spasms,"A spasm is a sudden involuntary contraction of a muscle, a group of muscles, or a hollow organ such as the heart. A spasmodic muscle contraction may be caused by many medical conditions, including dystonia. Most commonly, it is a muscle cramp which is accompanied by a sudden burst of pain."
vision loss,"Visual impairment, also known as vision impairment or vision loss, is a decreased ability to see to a degree that causes problems not fixable by usual means, such as glasses. Some also include those who have a decreased ability to see because they do not have access to glasses or contact lenses."
restless,"an inability to achieve relaxation; a feeling of mild mental discomfort. Restlessness is frequently an early, subtle sign of a patient's deterioration."
sore tongue,"Inflammation of the tongue is medically known as glossitis. Pain in the tongue is known as glossodynia. Inflammation may occur on the sides of the tongue, the tip of the tongue, on the back of the tongue, or throughout the tongue."
cloudy vision,"Blurred vision: Lack of sharpness of vision with, as a result, the inability to see fine detail. Blurred vision can occur when a person who wears corrective lens is without them."
compulsive behavior,Compulsive behavior is defined as performing an action persistently and repetitively without it necessarily leading to an actual reward or pleasure. Compulsive behaviors could be an attempt to make obsessions go away.
loss of balance,"A balance disorder is a disturbance that causes an individual to feel unsteady, for example when standing or walking. It may be accompanied by feelings of giddiness, or wooziness, or having a sensation of movement, spinning, or floating."
nosebleed,nosebleed is the loss of blood from the tissue that lines the inside of your nose. Nosebleeds (also called epistaxis) are common
cracks at corner of mouth,"f you are experiencing cracking in the corners of your mouth, you have a common condition called perleche or angular cheilitis. Perleche comes from a French word meaning “to lick,” because people tend to lick the irritated areas of their mouths"
ringing in ears,"Tinnitus (pronounced ti-ni-tis), or ringing in the ears, is the sensation of hearing ringing, buzzing, hissing, chirping, whistling, or other sounds. The noise can be intermittent or continuous, and can vary in loudness."
tightness,"an uncomfortable feeling of pressure in the chest, throat, or a muscle"
low libido,"Low libido describes a decreased interest in sexual activity. It's common to lose interest in sex from time to time, and libido levels vary through life. It's also normal for your interest not to match your partner's at times. However, low libido for a long period of time may cause concern for some people."
change in stools,"Changes in stool—including color, consistency and frequency"
short attention span,"People with a short attention span may have trouble focusing on tasks for any length of time without being easily distracted. A short attention span can have several negative effects, including: poor performance at work or school. inability to complete daily tasks. missing important details or information."
joint instability,"Instability happens when tissues — such as muscles, ligaments, and bones — weaken. Once they are weak, they no longer hold the bones of the joint in proper place. Joints are flexible, allowing for movement."
difficulty finding words,"Aphasia is a communication disorder that makes it hard to use words. It can affect your speech, writing, and ability to understand language. Aphasia results from damage or injury to language parts of the brain."
heaviness,"heaviness - the property of being comparatively great in weight; ""the heaviness of lead"" weightiness. weight - the vertical force exerted by a mass as a result of gravity. heft, ponderosity, ponderousness, heftiness, massiveness - the property of being large in mass."
bloody sputum,"Bloody sputum: Coughed up blood or bloody mucus. Bloody sputum can be caused by infection in the lungs and airways, such as acute bronchitis or pneumonia, or cancer."
heartburn,"Heartburn is a burning pain in your chest, just behind your breastbone. The pain is often worse after eating, in the evening, or when lying down or bending over. Occasional heartburn is common and no cause for alarm."
spots on tonsils,"When white spots appear on the tonsils, they may present as blotches or streaks. They may also contain pus. The most common symptom that occurs is a sore throat. White spots on the tonsils usually indicate an infection."
hearing loss,"Hearing impairment, deafness, or hearing loss refers to the total or partial inability to hear sounds. Symptoms may be mild, moderate, severe, or profound."
mucus,A thick fluid that is produced by the lining of some organs of the body
burning urination,"Painful urination (dysuria) is discomfort or burning with urination, usually felt in the tube that carries urine out of your bladder (urethra) or the area surrounding your genitals (perineum)."
grooved tongue,"The term fissured tongue describes the finding of multiple small furrows or grooves on the dorsal (top) surface of the tongue. These fissures can be shallow or deep, single or multiple. Often there is a prominent fissure in the center of the tongue."
difficulty talking,"Dysphasia (also called aphasia) is an impairment of language. They often co-exist. Strictly speaking, the words anarthria and aphasia mean a total absence of ability to form speech or language but they are often used when dysarthria and dysphasia would be more correct."
heavy menstrual bleeding,"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia."
late menstrual period,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation — one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15."
bulge,"A bulging disc is a condition in which the nucleus (inner portion) of a spinal disc remains contained within the annulus fibrosus (outer portion), unlike a herniated disc in which the nucleus leaks out of the disc."
early morning waking,early morning waking
tiredness,"Fatigue is a term used to describe an overall feeling of tiredness or lack of energy. It isn't the same as simply feeling drowsy or sleepy. When you're fatigued, you have no motivation and no energy."
feeling faint,"Fainting, also called syncope (pronounced SIN-ko-pee), is a sudden, brief loss of consciousness and posture caused by decreased blood flow to the brain"
gum sores,"Stomatitis, a general term for an inflamed and sore mouth, can disrupt a person's ability to eat, talk, and sleep. Stomatitis can occur anywhere in the mouth, including the inside of the cheeks, gums, tongue, lips, and palate."
loss of smell,"If you lose your sense of smell, you'll miss more than a variety of scents. Without a good sense of smell, you may find that food tastes bland and it's hard to tell different foods apart. Loss of smell can be partial (hyposmia) or complete (anosmia), and may be temporary or permanent, depending on the cause."
belching,"Belching or burping (eructation) is the voluntary or involuntary, sometimes noisy release of air from the stomach or esophagus through the mouth."
furry tongue,"Hairy tongue (lingua villosa) refers to a marked accumulation of keratin on the filiform papillae on the dorsal surface of the tongue, giving a hair-like appearance. Black tongue (lingua nigra) refers to a black discoloration of the tongue, which may or may not be associated with hairy tongue."
damaged teeth enamel,"Enamel hypoplasia is a defect of the enamel that only occurs while teeth are still developing. Still, it can affect both baby teeth and permanent teeth. The condition results in thin enamel, which makes your teeth vulnerable to dental decay."
post nasal drip,"Post-nasal drip (PND), also known as upper airway cough syndrome (UACS), occurs when excessive mucus is produced by the nasal mucosa. The excess mucus accumulates in the back of the nose, and eventually in the throat once it drips down the back of the throat."
frightening dreams,"Nightmare disorder is referred to by doctors as a parasomnia — a type of sleep disorder that involves undesirable experiences that occur while you're falling asleep, during sleep or when you're waking up. Nightmares usually occur during the stage of sleep known as rapid eye movement (REM)."
hoarse voice,"Otolaryngology. A hoarse voice, also known as dysphonia or hoarseness, is when the voice involuntarily sounds breathy, raspy, or strained, or is softer in volume or lower in pitch. A hoarse voice, can be associated with a feeling of unease or scratchiness in the throat."
inability to exercise,"Exercise intolerance is a condition of inability or decreased ability to perform physical exercise at the normally expected level or duration for people of that age, size, sex, and muscle mass. It also includes experiences of unusually severe post-exercise pain, fatigue, nausea, vomiting or other negative effects."
