,lesion,malaise,lethargy,acute episodes,bleeding from anus,dehydration,leaking of urine,mental confusion,sadness,grinding teeth,self-neglect,bad taste in mouth,hallucinations,diogenes syndrome,choking,shaking,watery eyes,thick saliva,metallic taste in mouth,bloating,tenderness to touch,fits of rage,pain when moving eyes,taste of acid in mouth,spasms,vision loss,restless,sore tongue,cloudy vision,compulsive behavior,loss of balance,nosebleed,cracks at corner of mouth,ringing in ears,tightness,low libido,change in stools,short attention span,joint instability,difficulty finding words,heaviness,bloody sputum,heartburn,spots on tonsils,hearing loss,mucus,burning urination,grooved tongue,difficulty talking,heavy menstrual bleeding,late menstrual period,bulge,early morning waking,tiredness,feeling faint,gum sores,loss of smell,belching,furry tongue,damaged teeth enamel,post nasal drip,frightening dreams,hoarse voice,inability to exercise,poor hygiene,delusions,swollen tonsils,jaundice,ear ache,sore throat,agitation,constipation,numbness,abdominal pain,nausea,back pain,chill,wheezing,drowsiness,labored breathing,fatigue,fever,diarrhea,dizziness,urinary urgency,shortness of breath,palpitation,aggression,bleeding,blurred vision,bruising,confusion,phlegm,dark urine,disorientation,drooping eyelid,dry mouth,dry skin,elbow pain,skin rash,fainting,fast heart rate,leg pain,loss of appetite,low blood pressure,nasal congestion,pelvic pain,runny nose,shoulder pain,urinary retention,vaginal discharge,easy bruising,mouth sores,dry eyes,loss of speech,cold feet,decreased appetite,swollen lymph nodes,tingling,involuntary movements,bitter almond odor on breath,rectal incontinence,bleeding gums,swollen tongue,mood swings,excessive sweating,morning stiffness,bad breath,difficulty urinating,stiff neck,cloudy urine with strong odor,hot flashes,cold hands,skin bumps,hair loss,discharge from penis,warm to touch face,sweat,distended stomach,weight loss,muscle twitch,tremor,fall,bleeding of vagina,cough,pain chest,muscle cramps,muscle pain,testicle pain,joint pain,vomiting,enlarged  pupils,painful intercourse,red  eyes,shaking hands,swollen lips,headache,red spots on the skin,swollen glands,memory loss,bulging veins,white patches on tongue,difficulty swallowing,weakness,difficulty concentrate,seizures,broken bone,missed menstrual period,increased thirst,abnormal gait,restless  legs,!lesion,!malaise,!lethargy,!acute episodes,!bleeding from anus,!dehydration,!leaking of urine,!mental confusion,!sadness,!grinding teeth,!self-neglect,!bad taste in mouth,!hallucinations,!diogenes syndrome,!choking,!shaking,!watery eyes,!thick saliva,!metallic taste in mouth,!bloating,!tenderness to touch,!fits of rage,!pain when moving eyes,!taste of acid in mouth,!spasms,!vision loss,!restless,!sore tongue,!cloudy vision,!compulsive behavior,!loss of balance,!nosebleed,!cracks at corner of mouth,!ringing in ears,!tightness,!low libido,!change in stools,!short attention span,!joint instability,!difficulty finding words,!heaviness,!bloody sputum,!heartburn,!spots on tonsils,!hearing loss,!mucus,!burning urination,!grooved tongue,!difficulty talking,!heavy menstrual bleeding,!late menstrual period,!bulge,!early morning waking,!tiredness,!feeling faint,!gum sores,!loss of smell,!belching,!furry tongue,!damaged teeth enamel,!post nasal drip,!frightening dreams,!hoarse voice,!inability to exercise,!poor hygiene,!delusions,!swollen tonsils,!jaundice,!ear ache,!sore throat,!agitation,!constipation,!numbness,!abdominal pain,!nausea,!back pain,!chill,!wheezing,!drowsiness,!labored breathing,!fatigue,!fever,!diarrhea,!dizziness,!urinary urgency,!shortness of breath,!palpitation,!aggression,!bleeding,!blurred vision,!bruising,!confusion,!phlegm,!dark urine,!disorientation,!drooping eyelid,!dry mouth,!dry skin,!elbow pain,!skin rash,!fainting,!fast heart rate,!leg pain,!loss of appetite,!low blood pressure,!nasal congestion,!pelvic pain,!runny nose,!shoulder pain,!urinary retention,!vaginal discharge,!easy bruising,!mouth sores,!dry eyes,!loss of speech,!cold feet,!decreased appetite,!swollen lymph nodes,!tingling,!involuntary movements,!bitter almond odor on breath,!rectal incontinence,!bleeding gums,!swollen tongue,!mood swings,!excessive sweating,!morning stiffness,!bad breath,!difficulty urinating,!stiff neck,!cloudy urine with strong odor,!hot flashes,!cold hands,!skin bumps,!hair loss,!discharge from penis,!warm to touch face,!sweat,!distended stomach,!weight loss,!muscle twitch,!tremor,!fall,!bleeding of vagina,!cough,!pain chest,!muscle cramps,!muscle pain,!testicle pain,!joint pain,!vomiting,!enlarged  pupils,!painful intercourse,!red  eyes,!shaking hands,!swollen lips,!headache,!red spots on the skin,!swollen glands,!memory loss,!bulging veins,!white patches on tongue,!difficulty swallowing,!weakness,!difficulty concentrate,!seizures,!broken bone,!missed menstrual period,!increased thirst,!abnormal gait,!restless  legs,Sum,Age18-35,Age35-55,Age55+,Female,Male,%-%nosebleed%-%Low%-%,%-%nosebleed%-%Medium%-%,%-%nosebleed%-%Strong%-%,%-%abdominal pain%-%Low%-%,%-%abdominal pain%-%Medium%-%,%-%abdominal pain%-%Strong%-%,%-%back pain%-%Low%-%,%-%back pain%-%Medium%-%,%-%back pain%-%Strong%-%,%-%elbow pain%-%Low%-%,%-%elbow pain%-%Medium%-%,%-%elbow pain%-%Strong%-%,%-%leg pain%-%Low%-%,%-%leg pain%-%Medium%-%,%-%leg pain%-%Strong%-%,%-%pelvic pain%-%Low%-%,%-%pelvic pain%-%Medium%-%,%-%pelvic pain%-%Strong%-%,%-%shoulder pain%-%Low%-%,%-%shoulder pain%-%Medium%-%,%-%shoulder pain%-%Strong%-%,%-%pain chest%-%Low%-%,%-%pain chest%-%Medium%-%,%-%pain chest%-%Strong%-%,%-%muscle pain%-%Low%-%,%-%muscle pain%-%Medium%-%,%-%muscle pain%-%Strong%-%,%-%testicle pain%-%Low%-%,%-%testicle pain%-%Medium%-%,%-%testicle pain%-%Strong%-%,%-%joint pain%-%Low%-%,%-%joint pain%-%Medium%-%,%-%joint pain%-%Strong%-%,%-%headache%-%Low%-%,%-%headache%-%Medium%-%,%-%headache%-%Strong%-%
addison's disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,518,1,1,1,1,1,455,1,559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,490,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,402,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,482,999,999,999,999,999,545,999,441,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,601,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,264,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,510,999,999,999,999,999,999,999,773,108,126,539,396,377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adult adhd,1,1,1,1,1,1,1,1,1,1,1,874,1,1,1,1,1,1,1,1,1,651,1,1,1,1,486,1,491,727,784,1,1,1,1,1,1,780,1,639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,483,1,1,1,680,1,1,1,1,796,1,1,1,1,1,1,1,1,1,490,1,1,501,1,1,1,551,1,1,1,601,1,1,1,1,1,1,1,1,657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,774,1,1,857,849,1,1,1,835,773,1,1,1,1,1,1,1,1,1,1,1,795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,686,1,1,1,488,1,1,999,999,999,999,999,999,999,999,999,999,999,126,999,999,999,999,999,999,999,999,999,349,999,999,999,999,514,999,509,273,216,999,999,999,999,999,999,220,999,361,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,517,999,999,999,320,999,999,999,999,204,999,999,999,999,999,999,999,999,999,510,999,999,499,999,999,999,449,999,999,999,399,999,999,999,999,999,999,999,999,343,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,226,999,999,143,151,999,999,999,165,227,999,999,999,999,999,999,999,999,999,999,999,205,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,314,999,999,999,512,999,999,882,101,92,689,311,571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alzheimer's disease,1,1,878,1,1,1,657,625,544,1,531,767,788,479,1,852,1,1,1,1,1,699,1,1,1,1,583,1,1,673,692,1,1,1,1,1,1,595,1,754,1,1,1,1,673,1,1,1,444,1,1,1,580,1,704,1,799,1,1,1,1,841,1,1,844,521,1,1,1,1,876,1,585,1,844,486,503,1,842,1,674,729,671,479,555,1,849,809,592,874,532,583,1,1,630,699,446,497,1,1,601,1,474,1,536,1,1,1,1,1,1,1,1,476,773,1,488,1,724,494,1,718,1,1,667,1,1,1,1,1,1,484,1,1,478,533,1,836,1,472,751,806,816,1,855,1,1,1,1,541,495,825,1,1,1,1,818,1,1,856,1,1,1,635,764,514,691,1,1,869,1,999,999,122,999,999,999,343,375,456,999,469,233,212,521,999,148,999,999,999,999,999,301,999,999,999,999,417,999,999,327,308,999,999,999,999,999,999,405,999,246,999,999,999,999,327,999,999,999,556,999,999,999,420,999,296,999,201,999,999,999,999,159,999,999,156,479,999,999,999,999,124,999,415,999,156,514,497,999,158,999,326,271,329,521,445,999,151,191,408,126,468,417,999,999,370,301,554,503,999,999,399,999,526,999,464,999,999,999,999,999,999,999,999,524,227,999,512,999,276,506,999,282,999,999,333,999,999,999,999,999,999,516,999,999,522,467,999,164,999,528,249,194,184,999,145,999,999,999,999,459,505,175,999,999,999,999,182,999,999,144,999,999,999,365,236,486,309,999,999,131,999,885,138,232,515,375,510,1,1,1,1,1,1,110,143,233,1,1,1,173,110,191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,213,96,232,254,192,372
anal cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,494,1,1,1,1,1,1,1,1,1,1,1,772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,805,786,1,1,821,1,1,1,1,817,1,489,678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,671,1,1,1,1,1,1,1,1,1,1,1,763,1,1,832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,781,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,506,999,999,999,999,999,999,999,999,999,999,999,228,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,195,214,999,999,179,999,999,999,999,183,999,511,322,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,329,999,999,999,999,999,999,999,999,999,999,999,237,999,999,168,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,346,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,219,999,999,881,247,214,420,371,510,1,1,1,1,1,1,95,136,590,1,1,1,1,1,1,208,128,335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asthma,1,606,741,684,1,1,1,1,695,850,1,498,1,1,667,821,594,577,1,740,1,1,594,710,731,1,1,734,569,1,1,933,1,1,653,1,845,619,1,1,755,1,630,1,1,1,1,587,654,1,922,660,1,929,815,519,1,579,1,892,580,1,889,480,1,1,651,1,547,559,1,1,525,1,630,834,801,546,1,572,907,892,496,789,1,729,711,1,878,785,675,1,663,1,1,1,938,1,1,694,534,691,1,642,1,599,1,868,1,1,1,731,934,527,632,661,932,1,906,1,691,1,1,532,1,771,1,938,904,898,766,691,814,1,1,1,1,757,1,844,1,1,1,1,900,890,727,1,1,1,733,1,1,515,492,1,696,584,900,1,866,1,757,629,1,552,1,1,829,1,1,999,394,259,316,999,999,999,999,305,150,999,502,999,999,333,179,406,423,999,260,999,999,406,290,269,999,999,266,431,999,999,67,999,999,347,999,155,381,999,999,245,999,370,999,999,999,999,413,346,999,78,340,999,71,185,481,999,421,999,108,420,999,111,520,999,999,349,999,453,441,999,999,475,999,370,166,199,454,999,428,93,108,504,211,999,271,289,999,122,215,325,999,337,999,999,999,62,999,999,306,466,309,999,358,999,401,999,132,999,999,999,269,66,473,368,339,68,999,94,999,309,999,999,468,999,229,999,62,96,102,234,309,186,999,999,999,999,243,999,156,999,999,999,999,100,110,273,999,999,999,267,999,999,485,508,999,304,416,100,999,134,999,243,371,999,448,999,999,171,999,999,948,102,102,744,595,353,221,209,503,1,1,1,153,118,563,1,1,1,1,1,1,1,1,1,1,1,1,130,130,630,1,1,1,1,1,1,1,1,1,88,175,433
atopic dermatitis,744,1,1,418,1,1,1,1,618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,645,1,1,1,1,1,523,479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,648,1,625,1,1,1,1,1,1,1,1,1,1,1,1,1,553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,641,1,1,1,1,1,1,1,1,1,1,690,1,1,1,1,1,1,1,1,1,1,1,655,716,1,1,1,1,1,1,1,1,1,1,1,1,1,256,999,999,582,999,999,999,999,382,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,355,999,999,999,999,999,477,521,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,352,999,375,999,999,999,999,999,999,999,999,999,999,999,999,999,447,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,359,999,999,999,999,999,999,999,999,999,999,310,999,999,999,999,999,999,999,999,999,999,999,345,284,999,999,999,999,999,999,999,999,999,999,999,999,999,784,171,209,404,454,330,1,1,1,1,1,1,100,110,313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,97,432
bile duct cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,541,1,1,1,1,1,639,1,1,1,1,1,1,1,502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,459,999,999,999,999,999,361,999,999,999,999,999,999,999,498,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,587,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,758,223,106,429,380,378,1,1,1,129,74,436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bird flu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,558,1,1,1,1,760,1,1,1,1,1,1,607,740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,699,1,1,1,1,1,545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,442,999,999,999,999,240,999,999,999,999,999,999,393,260,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,301,999,999,999,999,999,455,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,865,257,201,407,456,409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bladder cancer,1,1,567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,467,643,1,1,1,1,1,1,521,1,1,1,1,1,1,1,926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,761,734,1,629,1,1,1,1,810,693,1,1,646,1,1,1,758,1,1,1,1,517,1,1,1,1,1,1,1,1,1,1,608,1,860,1,1,840,803,1,666,1,1,1,1,1,538,1,1,1,1,1,1,1,1,1,1,1,796,1,1,1,1,1,1,1,1,1,1,1,1,791,1,1,1,1,913,1,1,1,624,1,1,1,1,1,796,1,1,1,1,897,1,1,475,882,763,1,1,999,999,433,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,367,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,533,357,999,999,999,999,999,999,479,999,999,999,999,999,999,999,74,999,999,999,999,999,999,999,999,999,999,999,999,999,999,239,266,999,371,999,999,999,999,190,307,999,999,354,999,999,999,242,999,999,999,999,483,999,999,999,999,999,999,999,999,999,999,392,999,140,999,999,160,197,999,334,999,999,999,999,999,462,999,999,999,999,999,999,999,999,999,999,999,204,999,999,999,999,999,999,999,999,999,999,999,999,209,999,999,999,999,87,999,999,999,376,999,999,999,999,999,204,999,999,999,999,103,999,999,525,118,237,999,999,929,155,264,510,433,496,1,1,1,205,144,385,84,128,417,1,1,1,1,1,1,112,226,522,1,1,1,1,1,1,1,1,1,341,223,349,1,1,1,1,1,1
bone cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,686,682,566,1,1,1,1,802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,736,1,1,1,1,455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,314,318,434,999,999,999,999,198,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,282,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,264,999,999,999,999,545,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,871,155,223,493,384,487,1,1,1,1,1,1,191,170,321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
